commonName,lat,lon,NbDocks,geometry,Station_number,Community
"Farm Street, Mayfair",51.509351,-0.147449,15,POINT (697944.4871125876 5710327.324074982),2678,3
"Fire Brigade Pier, Vauxhall",51.493699,-0.121394,30,POINT (699820.6403990678 5708657.928922616),2703,3
"Southampton Street, Strand",51.510701,-0.121723,14,POINT (699723.4248797004 5710547.344197414),1228,3
"Buxton Street 1, Shoreditch",51.521776,-0.068856,41,POINT (703341.7953293375 5711924.338617318),1223,1
"Clifford Street, Mayfair",51.510662,-0.142345,17,POINT (698292.9033437793 5710486.907147115),2688,3
"Snow Hill, Farringdon",51.517334,-0.103604,15,POINT (700951.2541455679 5711334.436793905),2699,1
"Cadogan Gardens, Chelsea",51.492462,-0.159919,15,POINT (697152.2323184309 5708415.8922658125),2695,3
"Shouldham Street, Marylebone",51.51809,-0.163609,16,POINT (696785.6362808743 5711255.3493794575),2693,0
"Brick Lane Market, Shoreditch",51.522617,-0.071653,24,POINT (703144.0531902127 5712010.06937505),2687,1
"George Street, Marylebone",51.517703,-0.154106,27,POINT (697446.4961956562 5711237.930414013),1225,0
"Columbia Road, Shoreditch",51.528187,-0.075375,24,POINT (702861.1337081576 5712619.0170144485),2701,1
"George Place Mews, Marylebone",51.516892,-0.158249,16,POINT (697162.6140893222 5711136.585945214),10630,0
"Sun Street, Liverpool Street",51.520009,-0.083935,24,POINT (702303.7605494669 5711686.0667873),1129,1
"Strata, Elephant & Castle",51.493146,-0.099828,41,POINT (701319.812222693 5708655.561556398),10624,2
"Edgware Road Station, Marylebone",51.519968,-0.169774,64,POINT (696349.9133017033 5711447.5836651195),1058,0
"Southwark Station 2, Southwark",51.504044,-0.104778,45,POINT (700928.3099926754 5709853.608791738),22163,2
"Eaton Square (South), Belgravia",51.494561,-0.153933,31,POINT (697558.6118166773 5708665.409604556),22164,3
"Ebury Bridge, Pimlico",51.490491,-0.149186,29,POINT (697905.6952971604 5708225.725208079),22159,3
"Vincent Street, Pimlico",51.493072,-0.129925,17,POINT (699231.3007835702 5708564.954966623),22161,3
"Cheapside, Bank",51.51397,-0.09294,43,POINT (701705.8443718473 5710989.773688612),22180,1
"Crinan Street, King's Cross",51.534474,-0.122203,20,POINT (699586.1071976232 5713189.1669219285),22183,0
"Wren Street, Holborn",51.524564,-0.116279,33,POINT (700040.33467564 5712103.536937161),22169,0
"Kennington Station, Kennington",51.488852,-0.105593,23,POINT (700938.5908196815 5708162.302816168),22170,2
"Red Lion Street, Holborn",51.51824,-0.11655,36,POINT (700049.2634064227 5711399.680773103),22171,0
"Killick Street, King's Cross",51.5338,-0.118677,22,POINT (699833.5552142356 5713123.859345471),200053,0
"Sail Street, Vauxhall",51.495656,-0.114605,24,POINT (700283.2327100643 5708894.073367559),200039,2
"St. Katharine's Way, Tower",51.505697,-0.070542,24,POINT (703296.4635742933 5710131.975341608),200049,1
"Granby Street, Shoreditch",51.525645,-0.069543,37,POINT (703276.9066682142 5712352.588098743),22174,1
"Bell Lane, Liverpool Street",51.517475,-0.075855,23,POINT (702875.471294764 5711426.713532394),200036,1
"Fournier Street, Whitechapel",51.519362,-0.074431,18,POINT (702965.8550954314 5711640.462750973),200157,1
"Fore Street Avenue, Guildhall",51.517842,-0.090075,19,POINT (701887.4640382584 5711428.17194577),200253,1
"Portman Square, Marylebone",51.516204,-0.155525,17,POINT (697354.5472329254 5711067.438014326),200008,0
"Clarges Street, Mayfair",51.507326,-0.145827,16,POINT (698065.805795815 5710106.569705442),200088,3
"Wellington Row, Bethnal Green",51.528222,-0.069743,33,POINT (703251.554073999 5712638.545765805),200165,1
"Hoxton Station, Hoxton",51.531091,-0.075901,22,POINT (702811.74369592 5712940.42834792),200151,1
"Albany Street, The Regent's Park",51.528302,-0.144466,27,POINT (698069.173129901 5712442.420861086),200134,0
"Percival Street, Finsbury",51.526153,-0.102208,22,POINT (701009.2349194228 5712318.784267962),200051,1
"New Fetter Lane, Holborn",51.517428,-0.107987,21,POINT (700646.8076157956 5711332.855618714),200044,1
"Westminster Bridge Road, Elephant & Castle",51.498386,-0.107913,26,POINT (700735.6544184977 5709215.938203022),200076,2
"Gaywood  Street, Elephant & Castle",51.49605,-0.104193,45,POINT (701004.0863286003 5708966.431320187),200132,2
"King Edward Street, St Pauls",51.51601,-0.0985,20,POINT (701311.1406109063 5711201.266988006),200203,1
"Page Street, Westminster",51.493978,-0.127554,24,POINT (699391.9018298261 5708672.144219647),200048,3
"Bury Place, Holborn",51.51742,-0.123189,21,POINT (699592.3336548541 5711290.374855021),200074,0
"Somerset House, Strand",51.509943,-0.117619,41,POINT (700011.4683714542 5710474.281212816),200068,2
"Pitfield Street Central, Hoxton",51.53213,-0.08299,30,POINT (702315.5471798282 5713036.309823118),200248,1
"Eagle Wharf Road, Hoxton",51.53356,-0.09315,45,POINT (701604.6941804232 5713167.240571536),200246,1
"Queen Street 2, Bank",51.511246,-0.093051,36,POINT (701710.1819755924 5710686.609594937),200128,2
"New Cavendish Street, Marylebone",51.519167,-0.147983,18,POINT (697864.8796515019 5711417.24760586),200005,0
"Abingdon Green, Westminster",51.49764,-0.125972,20,POINT (699485.7004948586 5709083.60437273),200231,3
"Monument Street, Monument",51.50964,-0.08497,22,POINT (702277.9221447001 5710530.366623218),200101,2
"Hoxton Street, Hoxton",51.52959,-0.0801,27,POINT (702527.2278630007 5712761.908508834),200071,1
"Greenberry Street, St.John's Wood",51.53256,-0.16862,26,POINT (696375.7501421022 5712850.701108419),200236,0
"Northdown Street, King's Cross",51.531066,-0.11934,21,POINT (699799.5577004043 5712818.0756348455),200058,1
"Kingsway Southbound, Strand",51.513875,-0.117774,33,POINT (699983.4867229537 5710911.024641579),200226,2
"Seymour Place, Marylebone",51.520331,-0.163667,29,POINT (696771.9496224415 5711504.354453924),200198,0
"Archbishop's Park, Waterloo",51.498241,-0.117495,23,POINT (700071.3429518521 5709173.571098985),300025,2
"Great Suffolk Street, The Borough",51.501732,-0.100292,21,POINT (701249.7687710027 5709608.887667844),200200,2
"Buckingham Gate, Westminster",51.498865,-0.137424,16,POINT (698685.6387006223 5709188.641061321),200178,3
"Blackfriars Station, St. Paul's",51.511934,-0.103078,35,POINT (701011.522699639 5710735.5013135085),200212,1
"Harris Academy, Bermondsey",51.492668,-0.07235,18,POINT (703228.9948502233 5708678.379133785),300004,2
"Chicheley Street, South Bank",51.502698,-0.116747,24,POINT (700103.7187189239 5709671.153663825),200206,3
"St. Bride Street, Holborn",51.515059,-0.105344,25,POINT (700840.5680811899 5711076.719618331),200094,2
"Snowsfields, London Bridge",51.502153,-0.083632,31,POINT (702403.9403159893 5709701.654713543),200193,2
"Walworth Square, Walworth",51.491327,-0.096518,24,POINT (701557.5633142444 5708462.435435304),300050,2
"Duke Street Hill, London Bridge",51.506304,-0.087262,21,POINT (702133.6787802535 5710153.131014298),300083,2
"Newton Street, Covent Garden",51.516128,-0.120909,24,POINT (699756.144543024 5711152.951555423),300074,0
"Broadley Terrace, Marylebone",51.524561,-0.165668,18,POINT (696614.9266912006 5711969.277762083),300072,0
"Storey's Gate, Westminster",51.500703,-0.129698,21,POINT (699213.7656501522 5709414.002473298),200202,3
"Tallis Street, Temple",51.511891,-0.107349,24,POINT (700715.4125272352 5710718.992834151),300096,2
"Houndsditch, Aldgate",51.514449,-0.077178,28,POINT (702797.1464323034 5711086.610977677),200072,1
"Victoria & Albert Museum, South Kensington",51.495898,-0.173009,30,POINT (696228.9566053811 5708762.728753406),300032,3
"Blackfriars Road, Southwark",51.505461,-0.10454,42,POINT (700938.5875158405 5710011.8066652585),300214,2
"Cromer Street, Bloomsbury",51.528279,-0.119558,28,POINT (699796.6470480636 5712507.615314662),300205,0
"Euston Square Gardens, Euston",51.527068,-0.131861,30,POINT (698948.7141651544 5712339.434673073),300203,0
"Coram Street, Bloomsbury",51.524,-0.126409,29,POINT (699340.2258278949 5712013.172332775),300201,0
"Ossulston Street, Somers Town",51.5293,-0.128279,30,POINT (699187.386929571 5712597.343710078),300211,0
"Birkenhead Street, King's Cross",51.530199,-0.122299,27,POINT (699598.1573415846 5712713.600645142),300212,0
"Kings Gate House, Westminster",51.497698,-0.137598,24,POINT (698678.6410075375 5709058.419013274),300202,3
"Lavington Street, Bankside",51.505224,-0.098031,29,POINT (701391.2565175104 5710003.3548496105),300208,2
"Southwark Street, Bankside",51.505409,-0.098341,23,POINT (701368.9312567082 5710023.07006454),300238,2
"Good's Way, King's Cross",51.534667,-0.125078,27,POINT (699385.9091468374 5713202.78244294),300243,0
"Lincoln's Inn Fields, Holborn",51.516277,-0.118272,28,POINT (699938.4164947078 5711176.722316811),300240,0
"Tate Modern, Bankside",51.506725,-0.098807,30,POINT (701330.7944980682 5710168.102189684),300237,2
"Lambeth Palace Road, Waterloo",51.500089,-0.116628,35,POINT (700123.4102091623 5709381.406045355),300231,2
"Westminster Pier, Westminster",51.501513,-0.123823,27,POINT (699617.9030205474 5709520.073092179),300249,3
"Belvedere Road 2, South Bank",51.50621,-0.114842,38,POINT (700220.5026304508 5710066.836031829),300246,2
"Victory Place, Walworth",51.492807,-0.091938,24,POINT (701868.9012705327 5708639.609396043),300239,2
"Allington Street, Victoria",51.496863,-0.142943,28,POINT (698311.3408110595 5708951.081375946),300242,3
"Farringdon Street, Holborn",51.516785,-0.104947,25,POINT (700860.5113426552 5711269.709292027),300220,1
"Fore Street, Guildhall",51.518093,-0.091401,25,POINT (701794.375475029 5711452.419381433),300222,1
"Sea Containers, South Bank",51.508033,-0.106823,30,POINT (700768.8713383577 5710291.497523788),200144,2
"Tower Wharf, Bermondsey",51.500845,-0.074704,20,POINT (703029.2630292688 5709580.968260148),2667,2
"Temple Gardens, Temple",51.510981,-0.108322,24,POINT (700651.9110976107 5710615.148183223),300250,3
"Crimscott Street, Bermondsey",51.495598,-0.078893,19,POINT (702761.8792273265 5708985.985819713),300061,2
"Brandon Street, Walworth",51.489102,-0.091548,22,POINT (701912.3452214567 5708228.759777041),300060,2
"Strand, Strand",51.512582,-0.115057,35,POINT (700177.6408596024 5710774.6980508175),1100,2
"Waterloo Place, St. James's",51.506633,-0.131773,20,POINT (699043.9239955844 5710067.664305961),3458,3
"Horseferry Road, Westminster",51.494816,-0.130458,16,POINT (699186.7028334276 5708757.405095611),1170,3
"Broadwick Street, Soho",51.513684,-0.13558,18,POINT (698749.0802212467 5710841.259306537),3489,0
"Golden Square, Soho",51.511897,-0.137043,18,POINT (698655.3657768716 5710638.60251478),3451,0
"Wardour Street, Soho",51.512515,-0.133201,16,POINT (698919.2118216616 5710717.753705509),1163,0
"Frith Street, Soho",51.513103,-0.131213,18,POINT (699054.5633347848 5710788.536672089),2660,0
"Moor Street, Soho",51.513527,-0.13011,16,POINT (699129.2321963983 5710838.679944966),3504,0
"Soho Square , Soho",51.515631,-0.132328,57,POINT (698966.1913130833 5711066.571887558),1052,0
"Upper Grosvenor Street, Mayfair",51.51013,-0.155757,18,POINT (697364.7162721711 5710391.488111881),10621,0
"Park Lane, Mayfair",51.505426,-0.150817,18,POINT (697727.8168774513 5709881.824694509),300093,3
"Pall Mall East, West End",51.50777,-0.130699,22,POINT (699113.482371636 5710197.001030144),1153,3
"Green Park Station, Mayfair",51.506613,-0.142844,28,POINT (698275.8695812235 5710035.377121996),200096,3
